quote_uuid,quote_text,author
a410bcb3-6d4f-4938-9045-ab2a33b83e31,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski
70924499-1547-4ab3-ae0a-c595153a9249,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett
a54c5983-6b9d-4aeb-85d8-6caa5c26b064,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss
e35b2878-dffe-4a32-b22f-8f054b3704cf,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
c2b0c247-b3a7-4c16-bd47-109140905c77,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon
23df1e03-b53b-4ae2-befa-d7d6846baef1,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields
2df7fc0a-e731-4368-9975-6f533876d088,“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand
3e1a4ed4-caa2-4d9d-9662-578c8bde9e2c,“′Classic′ - a book which people praise and don't read.”,Mark Twain
ef59f90e-076c-4cd1-b6cf-0b1d0176aa36,“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein
20893430-26e6-43b2-aa78-dcec4d5df9c4,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen
832ffba3-8148-49eb-9a1d-908a8462fd6c,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling
58dc1448-44eb-4f16-9331-7a77b5174ce3,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
dcb977d3-d5e4-4f4f-a991-2add4e5d1ee1,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen
68c95928-cf25-4139-8a98-3c15dfaac412,“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis
3dce4843-38e2-417d-bb0a-d3d1f2a10b99,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis
590cd09d-3ccd-4370-a695-1dd38b50a423,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain
c53f884c-19fb-45df-ba21-72484592c176,“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain
56aeeca9-4942-4c30-bedb-916f0ea82d70,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis
0bcbbfba-b1d7-4d9d-a893-a473a749e85c,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling
11e7aee0-65e2-4deb-8509-0b2c463c8a66,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix
66925341-ef3e-4b49-9e3d-aa2f620532da,“To die will be an awfully big adventure.”,J.M. Barrie
9d6b289d-b6d6-4343-aed6-c3b749afc58a,“It takes courage to grow up and become who you really are.”,E.E. Cummings
867709a1-4a71-4d62-ae96-a9fc496a6e79,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini
3a423eb0-bd4c-4451-98fb-69208e9f3e07,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee
97fafcc3-7e50-44cf-806c-47656c6df47e,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
9134cc74-aa8b-43ab-94fd-2ffe4205c34e,“Never tell the truth to people who are not worthy of it.”,Mark Twain
0a86c32d-4e27-4609-aea9-287aead49d15,"“A person's a person, no matter how small.”",Dr. Seuss
09bbecaa-e5c9-4cad-a683-c3633e9649e6,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin
